OBJECTID,record_id,date_opened,record_status,date_closed,Full,record_type,record_type_category,record_type_group,record_type_subtype,record_type_type,record_type_4level,Address,description,planner_id,module,City,State,Zip,address,record_name
"4,812",2017-003622PRJ,08/14/2018 12:00:00 AM +0000,Accepted,,875 SANSOME ST 94133,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,875 SANSOME ST,"The rectangular shaped project site is located at 875 Sansome Street at the southwest corner of Broadway and Sansome Street. The project site is currently occupied by a two-story office building with approximately 6,530 square feet of office space. The proposed project would demolish the existing building on-site and construct a new six-story mixed-use building. The proposed project would include approximately 3,110 square feet of ground floor retail space, approximately 5,700 square feet of office space on the second and third floors, and nine dwelling units totaling approximately 8,470 square feet on the fourth, fifth, and sixth floors. The proposed building would be approximately 65 feet tall. Common open space would be provided on the rooftop level. No off-street vehicular parking spaces are proposed. The project would comply with bicycle parking requirements. Construction activities would occur over the course of approximately 12 months, and include demolition of the existing building and new construction. The proposed project would excavate to a depth of approximately 13 feet below grade for foundation work.",ETUFFY,Planning,San Francisco,Ca,94133,,
"15,730",2017-014408PRJ,11/08/2017 12:00:00 AM +0000,Under Review,,1730 09TH AVE 94122,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,1730 09TH AVE,Conditional Use Authorization to permit the change of use from residential to senior care facility (institutional).,,Planning,San Francisco,Ca,94122,,
"61,950",2014.1321,08/28/2014 12:00:00 AM +0000,Under Review,,"1717 17TH ST, SAN FRANCISCO, CA 94107",Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,415 DE HARO ST,Conditional Use Authorization to change use from vacant retail to a Formula Retail Financial Services use.,,Planning,San Francisco,Ca,94107,,
"56,958",2015-001212PRJ,02/04/2015 12:00:00 AM +0000,Under Review,,600 MOUNT VERNON AVE 94112,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,600 MOUNT VERNON AVE,Legalize the demolition and construction of an existing garage within the rear yard.,VFLORES,Planning,San Francisco,Ca,94112,,
"15,721",2017-014443PRJ,11/08/2017 12:00:00 AM +0000,Under Review,,301 POWELL ST 94102,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,335 POWELL ST,DEMOLITION OF (E) ADMIN OFFICES & STAIR. DEMOLITION OF (E) LIGHTWELL WALL & (E) INFILL ROOFTO EXPAND (E) LIGHTWELL. (N) GUESTROOMS & STORAGE IN FORMER ADMIN SPACE. (N) FINISHES TO MATCH (E). INSTALL (N) LIGHTING & PLUMBING FIXTURES. (N) ROOF STRUCTURE @ LIGHTWELL & (N) WINDOW. (N) MECH UNIT ON ROOF,RSALGADO,Planning,San Francisco,Ca,94102,,
"66,206",2014.0254,02/18/2014 12:00:00 AM +0000,Under Review,,"1003 PAGE ST, SAN FRANCISCO, CA 94117",Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,1003 PAGE ST,Convert Residential units to Tourist Hotel over Commercial,,Planning,San Francisco,Ca,94117,,
"11,202",2018-003466PRJ,03/12/2018 12:00:00 AM +0000,Under Review,,1318 18TH AVE 94122,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,1318 18TH AVE,"Legalize 600 sf 2 bedroom unit at ground floor of front building (Building A) per ORD # 43-14.NSR#2018K623932 recorded 6/7/18",MCHANDLE,Planning,San Francisco,Ca,94122,,
"40,835",2016-002539PRJ,02/24/2016 12:00:00 AM +0000,Open,,1201 BRYANT ST 94103,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,1201 Bryant Street,"Proposed seismic upgrade, (N) exterior paint, window refurbishment, elevator replacement, building systems upgrade, (N) entrance.",,Planning,San Francisco,Ca,94103,,
"2,315",2018-014459PIC,10/23/2018 12:00:00 AM +0000,Consultation,,1254 LEAVENWORTH ST 94109,PIC Research (PIC),PIC,Planning,PIC Research,Research,Planning/Research/PIC Research/PIC,1256 Leavenworth Street,Legalize existing unit on first floor,MCHANDLE,Planning,San Francisco,Ca,94109,,
"25,160",2017-000275PRJ,03/29/2017 12:00:00 AM +0000,Submitted,,921 HOWARD ST 94103,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,921 HOWARD ST,"The proposed project includes construction of a new 180' High-Rise, eighteen story, mixed-use residential tower and podium containing approximately 205 residential units. Off-street parking will be located at the ground floor with access from Tehama St. and a 2nd floor podium terrace will provide open space for residents. The structure will be a type I with concrete frame and shear walls. There will be no below grade structure beyond foundations, shoring and utilities.The PPA was submitted on 1/5/17 and the 90 day deadline is 4/5/17.",VBYRD,Planning,San Francisco,Ca,94103,,
