OBJECTID,record_id,date_opened,record_status,date_closed,address,record_type,record_type_category,record_type_group,record_type_subtype,record_type_type,record_type_4level,record_name,description,planner_id,module
"4,812",2017-003622PRJ,08/14/2018 12:00:00 AM +0000,Accepted,,875 SANSOME ST 94133,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,875 SANSOME ST,"The rectangular shaped project site is located at 875 Sansome Street at the southwest corner of Broadway and Sansome Street. The project site is currently occupied by a two-story office building with approximately 6,530 square feet of office space. The proposed project would demolish the existing building on-site and construct a new six-story mixed-use building. The proposed project would include approximately 3,110 square feet of ground floor retail space, approximately 5,700 square feet of office space on the second and third floors, and nine dwelling units totaling approximately 8,470 square feet on the fourth, fifth, and sixth floors. The proposed building would be approximately 65 feet tall. Common open space would be provided on the rooftop level. No off-street vehicular parking spaces are proposed. The project would comply with bicycle parking requirements. Construction activities would occur over the course of approximately 12 months, and include demolition of the existing building and new construction. The proposed project would excavate to a depth of approximately 13 feet below grade for foundation work.",ETUFFY,Planning
51,2018-017145PIC,12/21/2018 12:00:00 AM +0000,Consultation,,1 BALANCE ST 94133,PIC Research (PIC),PIC,Planning,PIC Research,Research,Planning/Research/PIC Research/PIC,432 JACKSON ST,Legalization Intake,DWEISSGL,Planning
"1,429",2018-015571PIC,11/14/2018 12:00:00 AM +0000,Consultation,,275 HARVARD ST 94134,PIC Research (PIC),PIC,Planning,PIC Research,Research,Planning/Research/PIC Research/PIC,275 Harvard Street,Legalization,DGANETSO,Planning
"1,009",2018-016050PIC,11/28/2018 12:00:00 AM +0000,Consultation,,68 ROCKWOOD CT 94127,PIC Research (PIC),PIC,Planning,PIC Research,Research,Planning/Research/PIC Research/PIC,68 ROCKWOOD CT,Preliminary Plan Review - Legalization,DWEISSGL,Planning
"8,316",2018-013162PRJ,05/24/2018 12:00:00 AM +0000,Open,,36 JOOST AVE 94131,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,36 JOOST AVENUE,Replace existing brick finish at street facade with new stone tile. Replace floor finish at building entry with stone tile.,VBYRD,Planning
"11,094",2018-003593PRJ,03/14/2018 12:00:00 AM +0000,Under Review,,906 BROADWAY 94133,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,906 BROADWAY,"Change of Use of a vacant 15,012 square foot church into a location for adult education and a community facility.",ETUFFY,Planning
"62,046",2014.1306,08/26/2014 12:00:00 AM +0000,Under Review,,"82 POTOMAC ST, SAN FRANCISCO, CA 94117",Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,82 POTOMAC ST,3 Units Condo. Conversion,,Planning
"39,950",2016-003564PRL,03/17/2016 12:00:00 AM +0000,Under Review,,1485 BUSH ST 94109,Project Light (PRL),PRL,Planning,Project,Project,Planning/Project/Project/PRL,1485 Bush Street - T-Mobile WTS Facility Modification,A MODIFICATION TO AN (E) UNMANNED TELECOMMUNICATION FACILITY CONSISTING OF : REANCHORING (E) PBC 6500 ON (N) WF SLEEPERS. ADDING BATTERIES OT (E) PBC 6500 FOR A TOTAL OF (20) BATTERIES. N/A MAHER ORDINANCE,SADINA,Planning
911,2018-016122PRJ,11/29/2018 12:00:00 AM +0000,Under Review,,562 SUTTER ST 94108,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,562 SUTTER ST,"FACADE MODIFCATIONS,LIMITED TO FIRE ESCAPE LADDER & GROUND FL STOREFRONT ZONE, SCOPE INLCUDES NEW FINISHES & FIXED MARQUEE. DEMO OF EXISTING FABRIC AWNIGS, DECORATIVE ARCHITRAVE & COLUMN STROUDS. SIGNAGE UNDER SEPARATE PERMIT",JVIMR,Planning
"15,730",2017-014408PRJ,11/08/2017 12:00:00 AM +0000,Under Review,,1730 09TH AVE 94122,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,1730 09TH AVE,Conditional Use Authorization to permit the change of use from residential to senior care facility (institutional).,,Planning
"2,412",2018-014307PIC,10/19/2018 12:00:00 AM +0000,Consultation,,345 GAMBIER ST 94134,PIC Research (PIC),PIC,Planning,PIC Research,Research,Planning/Research/PIC Research/PIC,345 Gambier - c6,ADU c6,MBOUDREA,Planning
"17,006",2017-012934PRJ,10/06/2017 12:00:00 AM +0000,Under Review,,275 SANTA ANA AVE 94127,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,275 SANTA ANA AVE,"SEAL GAPS ON STAIR WAY, REAR DOOR REPLACE DRY ROT, FIX TRIM AT GARAGE DOOR, FIX WALL & PAINT EXTERIOR, CHECK UNDER STAIRS.",EGORDON,Planning
"61,950",2014.1321,08/28/2014 12:00:00 AM +0000,Under Review,,"1717 17TH ST, SAN FRANCISCO, CA 94107",Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,415 DE HARO ST,Conditional Use Authorization to change use from vacant retail to a Formula Retail Financial Services use.,,Planning
"56,958",2015-001212PRJ,02/04/2015 12:00:00 AM +0000,Under Review,,600 MOUNT VERNON AVE 94112,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,600 MOUNT VERNON AVE,Legalize the demolition and construction of an existing garage within the rear yard.,VFLORES,Planning
"27,802",2017-000960PRL,01/23/2017 12:00:00 AM +0000,Under Review,,575 PIERCE ST 94117,Project Light (PRL),PRL,Planning,Project,Project,Planning/Project/Project/PRL,575 Pierce Street - NextNav Micro WTS Facility New Build,"INSTALL (1) OMNI-DIRECTIONAL ANTENNA, (1) GPS UNIT, AND (1) EQUIPMENT CABINET ON PENTHOUSE WALL. CONNECT CABINET TO (E) ELECTRICAL PANEL. NEXTNAVE E-911. MAHER NA",SSKANGOS,Planning
